"movie_id","keyword_id","name"
19995,1463,"culture clash"
19995,2964,"future"
19995,3388,"space colony"
19995,3679,"society"
19995,3801,"space travel"
19995,9685,"futuristic"
19995,9840,"romance"
19995,9882,"space"
19995,9951,"alien"
19995,10158,"alien planet"
19995,10987,"cgi"
19995,13065,"soldier"
19995,14643,"battle"
19995,206690,"mind and soul"
19995,209714,"3d"
285,270,"ocean"
285,726,"drug abuse"
285,911,"exotic island"
285,2038,"love of one's life"
285,2052,"traitor"
285,2580,"shipwreck"
285,2660,"strong woman"
285,3799,"ship"
285,6155,"afterlife"
285,6211,"fighter"
285,12988,"pirate"
285,157186,"swashbuckler"
285,179430,"aftercreditsstinger"
206647,470,"spy"
206647,818,"based on novel"
206647,4289,"secret agent"
206647,9663,"sequel"
206647,156095,"british secret service"
49026,849,"dc comics"
49026,853,"crime fighter"
49026,949,"terrorist"
49026,1308,"secret identity"
49026,1437,"burglar"
49026,3051,"hostage drama"
49026,6969,"gotham city"
49026,7002,"vigilante"
49026,9665,"cover-up"
49026,9715,"superhero"
49026,10044,"tragic hero"
49026,13015,"terrorism"
49026,14796,"destruction"
49026,156395,"imax"
49529,818,"based on novel"
49529,839,"mars"
49529,1456,"medallion"
49529,3801,"space travel"
49529,7376,"princess"
49529,9951,"alien"
49529,10028,"steampunk"
49529,10685,"escape"
49529,179102,"superhuman strength"
49529,207928,"19th century"
49529,209714,"3d"
559,851,"dual identity"
559,1453,"amnesia"
559,1965,"sandstorm"
559,2038,"love of one's life"
559,3446,"forgiveness"
559,3986,"spider"
559,4391,"wretch"
559,4959,"death of a friend"
559,6062,"hostility"
559,8828,"marvel comic"
559,9663,"sequel"
559,9715,"superhero"
559,9748,"revenge"
38757,1562,"hostage"
38757,2343,"magic"
38757,2673,"horse"
38757,3205,"fairy tale"
38757,4344,"musical"
38757,7376,"princess"
38757,10336,"animation"
38757,179431,"duringcreditsstinger"
99861,8828,"marvel comic"
99861,9663,"sequel"
99861,9715,"superhero"
99861,9717,"based on comic book"
99861,10629,"vision"
99861,155030,"superhero team"
99861,179431,"duringcreditsstinger"
99861,180547,"marvel cinematic universe"
99861,209714,"3d"
767,616,"witch"
767,2343,"magic"
767,3872,"broom"
767,3884,"school of witchcraft"
767,6333,"wizardry"
767,10791,"teenage crush"
767,12564,"werewolf"
209112,849,"dc comics"
209112,7002,"vigilante"
209112,9715,"superhero"
209112,9717,"based on comic book"
209112,9748,"revenge"
209112,163455,"super powers"
1452,83,"saving the world"
1452,849,"dc comics"
1452,9663,"sequel"
1452,9715,"superhero"
1452,9717,"based on comic book"
1452,163455,"super powers"
1452,179102,"superhuman strength"
10764,627,"killing"
10764,1568,"undercover"
10764,4289,"secret agent"
10764,156095,"british secret service"
58,616,"witch"
58,663,"fortune teller"
58,911,"exotic island"
58,1299,"monster"
58,1316,"captain"
58,3799,"ship"
58,5600,"daughter"
58,12988,"pirate"
58,157186,"swashbuckler"
58,179430,"aftercreditsstinger"
57201,1556,"texas"
57201,2673,"horse"
57201,5385,"survivor"
57201,9104,"partner"
57201,9503,"outlaw"
57201,10685,"escape"
57201,10909,"lawyer"
57201,13008,"train"
49521,83,"saving the world"
49521,849,"dc comics"
49521,9715,"superhero"
49521,9717,"based on comic book"
49521,10761,"superhuman"
49521,14909,"alien invasion"
49521,161184,"reboot"
49521,163455,"super powers"
2454,818,"based on novel"
2454,855,"fictional place"
2454,1155,"brother sister relationship"
2454,2043,"lion"
2454,3714,"human being"
2454,4391,"wretch"
2454,5144,"matter of life and death"
2454,6150,"faith"
2454,6464,"uncle"
2454,170362,"fantasy world"
24428,242,"new york"
24428,5539,"shield"
24428,8828,"marvel comic"
24428,9715,"superhero"
24428,9717,"based on comic book"
24428,14909,"alien invasion"
24428,155030,"superhero team"
24428,179430,"aftercreditsstinger"
24428,179431,"duringcreditsstinger"
24428,180547,"marvel cinematic universe"
1865,658,"sea"
1865,1316,"captain"
1865,1860,"mutiny"
1865,1938,"sword"
1865,2569,"prime minister"
1865,3180,"sailing"
1865,3799,"ship"
1865,4235,"duke"
1865,5938,"mermaid"
1865,12988,"pirate"
1865,13065,"soldier"
1865,14643,"battle"
1865,157186,"swashbuckler"
1865,179430,"aftercreditsstinger"
1865,209714,"3d"
41154,4379,"time travel"
41154,5455,"time machine"
41154,9951,"alien"
122917,417,"corruption"
122917,603,"elves"
122917,604,"dwarves"
122917,606,"orcs"
122917,609,"middle-earth (tolkien)"
122917,611,"hobbit"
122917,12554,"dragon"
122917,14643,"battle"
122917,167982,"unlikely friendship"
122917,234213,"sword and sorcery"
1930,1872,"loss of father"
1930,7002,"vigilante"
1930,8828,"marvel comic"
1930,161184,"reboot"
1930,163455,"super powers"
1930,163561,"genetic engineering"
1930,171556,"social outcast"
1930,179431,"duringcreditsstinger"
20662,10466,"knight"
20662,41406,"middle ages"
57158,603,"elves"
57158,604,"dwarves"
57158,606,"orcs"
57158,611,"hobbit"
57158,12554,"dragon"
57158,177912,"wizard"
57158,234213,"sword and sorcery"
2268,392,"england"
2268,1706,"experiment"
2268,6464,"uncle"
2268,13014,"orphan"
2268,18165,"animal"
2268,223438,"based on young adult novel"
254,837,"show business"
254,886,"film making"
254,887,"film producer"
254,911,"exotic island"
254,1299,"monster"
254,3799,"ship"
254,12616,"dinosaur"
597,2580,"shipwreck"
597,3799,"ship"
597,4210,"panic"
597,6917,"epic"
597,9673,"love"
597,10617,"disaster"
597,14514,"class differences"
597,156395,"imax"
597,165086,"star crossed lovers"
597,209714,"3d"
271110,393,"civil war"
271110,6091,"war"
271110,8828,"marvel comic"
271110,9663,"sequel"
271110,9715,"superhero"
271110,9717,"based on comic book"
271110,156395,"imax"
271110,179430,"aftercreditsstinger"
271110,179431,"duringcreditsstinger"
271110,180547,"marvel cinematic universe"
271110,209714,"3d"
44833,1721,"fight"
44833,4410,"u.s. navy"
44833,12354,"hong kong"
44833,13042,"soccer"
44833,14760,"scientist"
44833,179430,"aftercreditsstinger"
